Rx Parameter,Units,NR CA Bandwidth Class,,,
,,B,C,D,
"Power in largest transmission bandwidth configuration CC, Plargest BW",dBm,-232,-232,-252,
,,"-253,4","-253,4","-273,4",
Power in each other CC,dBm,"Plargest BW +10*log{(NRB,c*SCSc)/(NRB,largest BW*SCSlargest BW)}",,,
"NOTE 1:The transmitter shall be set to 4 dB below PCMAX_L,f,c at the minimum uplink configuration specified in Table 7.3.2-3 and 7.3F.2-3 for shared spectrum channel access operation with PCMAX_L,f,c as defined in clause 6.2.4.NOTE 2:Reference measurement channel is A.3.2.3 or A.3.3.3 for 64 QAM.NOTE 3:Reference measurement channel is A.3.2.4 or A.3.3.4 for 256 QAM.NOTE 4: Reference measurement channel is A.3.2.5 or A.3.3.5 for 1024 QAM.",,,,,
