Operating band / SCS / Channel bandwidth,,,,,
Operating Band,SCS kHz,5 MHz(dBm),10 MHz(dBm),15 MHz(dBm),20 MHz(dBm)
n1,15,-97.5,-93.8,-92,-90.8
,30,,-94.1,-92.1,-91
,60,,-94.5,-92.4,-91.2
n3,15,-93.6,-90.3,-88.5,-87.3
,30,,-90.7,-88.7,-87.6
,60,,-91.1,-89.0,-87.8
