RX parameter,Units,Channel bandwidth (MHz)
,,"10, 15, 20, 25, 30, 35, 40, 45, 50, 60, 70, 80, 90, 100"
Power in transmission bandwidth configuration,dBm,REFSENS + 6 dB3
BWinterferer,MHz,BWChannel
"FIoffset, case 1",MHz,(3/2)*BWChannel
"FIoffset, case 2",MHz,(5/2)*BWChannel
"NOTE 1:The transmitter shall be set to 4 dB below PCMAX_L,f,c at the minimum UL configuration specified in Table 7.3.2-3 with PCMAX_L,f,c defined in clause 6.2.4.NOTE 2:The interferer consists of the RMC specified in Annexes A.3.2.2 and A.3.3.2 with one sided dynamic OCNG Pattern OP.1 FDD/TDD for the DL-signal as described in Annex A.5.1.1/A.5.2.1 NOTE 3:For Band n104, the power in transmission bandwidth configuration is REFSENS + 9 dB",,
