UL band,DL band,UL Fc,UL BW,SCS of UL band,UL RB Allocation,DL Fc,DL BW,MSD,Cross-bandInterferencesource
,,(MHz),(MHz),(kHz),LCRB,(MHz),(MHz),(dB),
n80,n41,1765,40,15,50 (RBstart=166),2501,10,1.311.62,>ACLR2
n80,n41,1765,40,15,50 (RBstart=166),2546,100,1.311.62,>ACLR2
n84,n3,1945,50,15,128 (RBstart=0),1877.5,5,22.7125.72,ACLR1
n95,n41,2017.5,15,15,75 (RBstart=4),2501,10,4.815.92,>ACLR2
n95,n41,2017.5,15,15,75 (RBstart=4),2546,100,4.815.92,>ACLR2
n97,n41,2350,100,30,270 (RBstart=3),2501,10,31.1134.12,ACLR2
n97,n41,2360,80,30,216 (RBstart=1),2546,100,13.6116.62,ACLR2
n98,n41,1900,40,15,216 (RBstart=0),2501,10,4.916.02,>ACLR2
NOTE 1:Applicable to UE’s supporting PC2 with 1Tx.NOTE 2:Applicable to UE’s supporting PC2 with 2Tx.,,,,,,,,,
