Operating band,"ΔRIB,6R (dB)"
n41,-3.41-3.72
"n77, n78, n79, n104",-3.01-3.32
NOTE 1:When 6 Rx operation is supported by handheld UE.NOTE 2:When 6 Rx operation is supported by FWA form factor.,
