Rx Parameter,Units,Shared access CA bandwidth class
,,"B, C, D, E, I, M, N,O"
"Pw in Transmission Bandwidth Configuration, per CC",dBm,REFSENS + CA bandwidth class specific value below
,dB,9
"NOTE 1:The transmitter shall be set to 4dB below PCMAX_L,f,c at the minimum UL configuration specified in Table 7.3F.2-3 with PCMAX_L,f,c defined in clause 6.2.4.",,
