,,NR-U CA bandwidth class,,,,,,,
Rx Parameter,Units,B,C,D,E,I,M,N,O
ACS,dB,24  – 10log10(BWChannel_CA/20),,,,,,,
NOTE 1: ACS value is rounded to the next higher 0.5dB value,,,,,,,,,
