NR band,Parameter,Unit,Case 1,Case 2,Case 3
,Pinterferer,dBm,-56,-44,
"n2, n3, n25, n38, n41, n66, n484, n40",Finterferer (offset),MHz,"-Foffset –FIoffset, case 1andFoffset +FIoffset, case 1","≤ -Foffset –FIoffset, case 2and≥Foffset +FIoffset, case 2",
,Finterferer,MHz,NOTE 2,FDL_low – 15toFDL_high + 15,
n71,Finterferer,MHz,NOTE 2,FDL_low – 12toFDL_high + 15,FDL_low – 12
"NOTE 1:The absolute value of the interferer offset Finterferer (offset) shall be further adjusted to MHz with SCS the sub-carrier spacing of the carrier closest to the interferer in MHz. The interferer is an NR signal with 15 kHz SCS.NOTE 2:For each carrier frequency, the requirement applies for two interferer carrier frequencies: a: -Foffset – FIoffset, case 1; b: Foffset + FIoffset, case 1NOTE 3:BWchannel CA denotes the aggregated channel bandwidth of the wanted signalNOTE 4:n48 follows the requirement in this frequency range according to the general requirement defined in Clause 7.1A.",,,,,
