RX parameter,Units,Channel bandwidth
,,"20, 40, 60, 80, 100 MHz"
Power in transmission bandwidth configuration,dBm,REFSENS + 9 dB + 10log10(BWChannel /20) dB
BWinterferer,MHz,20
"FIoffset, case 1",MHz,30
"FIoffset, case 2",MHz,≥ 50
