RX parameter,Units,Channel bandwidth
,,"20, 40, 60, 80, 100 MHz"
Power in transmission bandwidth configuration,dBm,REFSENS + 9 dB
"NOTE 1:The transmitter shall be set to 4 dB below PCMAX_L,f,c at the minimum UL configuration specified in Table 7.3.2-3 with PCMAX_L,f,c defined in clause 6.2.4.",,
