NR SL inter-band concurrent operating configuration,NR Band,Interface,Channel bandwidth (MHz) (NOTE 1),Bandwidth combination set
SL_n78A-n46A,n78,Uu,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,n46,PC5,"20, 40, 60, 80, 100",
NOTE 1:The SCS of each channel bandwidth for NR band refers to Table 5.3.5-1.,,,,
