Clause suffix,Variant
None,Single Carrier
A,Carrier Aggregation (CA)
B,Dual-Connectivity (DC)
C,Supplementary Uplink (SUL)
D,UL MIMO
E,V2X
F,Shared spectrum channel access
G,Tx Diversity (TxD)
H,Carrier Aggregation (CA) with UL MIMO
I,(e)RedCap
J,ATG
K,Aerial UE (UAV)
L,Carrier Aggregation (CA) with Tx Diversity
M,LP-WUS/WUR
