SCS (kHz),3MHz,5MHz,7MHz,10MHz,15MHz,20MHz,25MHz,30MHz,35MHz,40 MHz,45MHz,50MHz,60MHz,70MHz,80MHz,90MHz,100MHz
,NRB,NRB,NRB,NRB,NRB,NRB,NRB,NRB,NRB,NRB,NRB,NRB,NRB,NRB,NRB,NRB,NRB
15,15,25,35,52,79,106,133,160,188,216,242,270,N/A,N/A,N/A,N/A,N/A
30,N/A,11,N/A,24,38,51,65,78,92,106,119,133,162,189,217,245,273
60,N/A,N/A,N/A,11,18,24,31,38,44,51,58,65,79,93,107,121,135
