Channel Bandwidth,Allowed NREF
10 MHz,"782000, 788668"
20 MHz,"744000, 745332, 746668, 748000, 749332, 750668, 752000, 753332, 754668, 756000, 765332, 766668, 768000, 769332, 770668, 772000, 773332, 774668, 776000, 777332, 778668, 780000, 781332, 783000, 784332, 785668, 787000, 788332, 789668, 791000, 792332, 793668"
40 MHz,"744668, 746000, 748668, 751332, 754000, 755332, 766000, 767332, 770000, 772668, 775332, 778000, 780668, 783668, 786332, 787668, 790332, 793000"
60 MHz,"745332, 746668, 748000, 752000, 753332, 754668, 766668, 768000, 769332, 773332, 774668, 778668, 780000, 784332, 785668, 791000, 792332"
80 MHz,"746000, 747332, 752668, 754000, 767332, 768668, 774000, 779332, 785000, 791668"
100 MHz,"746668, 753332, 768000, 791000"
NOTE:10 MHz channel bandwidth shall only apply in certain regions where the absence of non 3GPP technologies can be guaranteed on a long-term basis in this version of specification.,
