NR SL-U operating band,Sidelink (SL) Transmission operating band,Sidelink (SL)  Reception operating band,Duplex Mode,Interface
,FUL_low   –  FUL_high,FDL_low  –  FDL_high,,
n461,5150 MHz – 5925 MHz,5150 MHz – 5925 MHz,HD,PC5
n961,5925 MHz – 7125 MHz,5925 MHz – 7125 MHz,HD,PC5
n1021,5925 MHz – 6425 MHz,5925 MHz – 6425 MHz,HD,PC5
"NOTE 1:Direct connection between client devices and between vehicular devices in the shared spectrum bands or portions of the shared spectrum bands is subject to country-specific conditions and can be prohibited per region-specific regulatory rules, e.g., in USA and Canada.",,,,
