NR CA Band,NR Band(Table 5.2-1),DL interruption allowed (Note 1)
CA_n3-n39,"n3, n39",
NOTE 1:Applicable when dynamic Tx switching is conducted. The DL interruption requirement is specified in clause 8.2.2.2.10 of 38.133 [13].,,
