Frequency range,SS Block frequency position SSREF,GSCN,Range of GSCN
0 – 3000 MHz,"N * 1200kHz + M * 50 kHz,N=1:2499, M ϵ {1,3,5} 1",3N + (M-3)/2,22 – 7498
3000 – 24250 MHz,3000 MHz + N * 1.44 MHzN = 0:14756,7499 + N,7499 – 22255
NOTE 1:The default value for operating bands with which only support SCS spaced channel raster(s) is M=3.NOTE 2:GSCN=2 (corresponding to ARFCN-ValueNR = 250) is a reserved value paired with reserved operating band n200.,,,
