SCS (kHz),3MHz,5MHz,7MHz,10MHz,15MHz,20MHz,25MHz,30MHz,35MHz,40MHz,45MHz,50MHz,60MHz,70MHz,80MHz,90MHz,100MHz
15,142.5,242.5,342.5,312.5,382.5,452.5,522.5,592.5,572.5,552.5,712.5,692.5,N/A,N/A,N/A,N/A,N/A
30,N/A,505,N/A,665,645,805,785,945,925,905,1065,1045,825,965,925,885,845
60,N/A,N/A,N/A,1010,990,1330,1310,1290,1630,1610,1590,1570,1530,1490,1450,1410,1370
