Config,Description
1,"LTE FDD, 120 kHz SSB SCS, 120 kHz CSI-RS SCS,100 MHz bandwidth, TDD duplex mode"
2,"LTE TDD, 120 kHz SSB SCS, 120 kHz CSI-RS SCS, 100 MHz bandwidth, TDD duplex mode"
"NOTE 1:The UE is only required to be tested in one of the supported test configurationsNOTE 2:target NR cell has the same SCS, BW and duplex mode as NR serving cell",
