Configuration,Description
1,"FDD LTE PCell, cells 2&3 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
2,"TDD LTE PCell, cells 2&3 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
3,"FDD LTE PCell, cells 2&3 240 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
4,"TDD LTE PCell, cells 2&3 240 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
