Parameter,Unit,Value,Comment
RF Channel Number,,"1, 2",One is E-UTRAN RF channel and the other is NR RF channel
Active PCell,,Cell 1,PCell on E-UTRAN RF channel number 1.
Configured PSCell,,Cell2,PSCell on NR RF channel number 2.
Configured SCell,,Cell3,SCell on NR RF channel number 3.
CP length,,Normal,Applicable to Cell 1 and Cell 2
DRX,,OFF,
Measurement gap pattern Id,,OFF,
T1,s,5,
T2,s,0.1,
