Configuration,Description
1,"LTE FDD PCell, Cell 2 NR 15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex modeCell 3 NR 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
2,"LTE FDD PCell, Cell 2 NR 15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex modeCell 3 NR 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
3,"LTE FDD PCell, Cell 2 NR 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex modeCell 3 NR 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
4,"LTE TDD PCell, Cell 2 NR 15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex modeCell 3 NR 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
5,"LTE TDD PCell, Cell 2 NR 15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex modeCell 3 NR 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
6,"LTE TDD PCell, Cell 2 NR 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex modeCell 3 NR 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
NOTE 1:The UE is only required to be tested in one of the supported test configurationsNOTE 2:A UE which passes test case A.5.5.3.14 can skip the test case A.5.5.3.15,
