Config,Description
1,"FDD LTE PCell, Cell 2&3 120 kHz SSB&CSI-RS SCS, 100 MHz bandwidth, TDD duplex mode"
2,"TDD LTE PCell, Cell 2&3 120 kHz SSB&CSI-RS SCS, 100 MHz bandwidth, TDD duplex mode"
NOTE:The UE is only required to be tested in one of the supported test configurations in each supported band,
