Parameter,,Unit,Cell 3,,,Cell 4,,
,,,T1,T2,T3,T1,T2,T3
Angle of arrival configuration,,,"NALink only, see clause A.3.7A",,,Setup 1 according to clause A.3.15.1,,
Assumption for UE beamsNote 5,,,,,,Rough,,
Note1,,dBm/15 kHz,,,,-104.7,,
Note1,"Config 1,2,4,5",dBm/SCS,,,,-95.7,,
,"Config 3,6",,,,,,,
SSB_RPNote2,"Config 1,2,4,5",dBm/SCS Note3,,,,-88.7,,
,"Config 3,6",,,,,,,
,Config 1~12,dB,,,,7,,
Note2,,dB,,,,7,,
IoNote2,Config 1~12,"dBm/ChBwNote3,Note4",,,,-58.92,,
"NOTE 1:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 2:Es/Iot, SSB_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 3:Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zoneNOTE 4:ChBW is 94.04 MHz for Cell4, 9.36 MHz for Cell 3 in configurations 1,2,4,5,7,8,10,11, 38.1 MHz in configurations 3,6,9,12.NOTE 5:Information about types of UE beam is given in B.2.1.3, and does not limit UE implementation or test system implementation",,,,,,,,
