Config,Description
1,"LTE FDD, NR PSCell/SCell 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
2,"LTE TDD, NR PSCell/SCell 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
NOTE:The UE is only required to be tested in one of the supported test configurations depending on UE capability,
