Parameter,Unit,Test configuration,Value,Comment
NR RF Channel Number,,Config 2,3,
E-UTRA RF Channel Number,,Config 2,1,One E-UTRAN FDD carrier frequency is used.
Active cell,,Config 2,"LTE cell 1 (PCell),NR cell 1(PSCell), NR cell 2(SCell) , NR cell 3(SCell)",
Neighbour cell,,Config 2,NR cell 4,
SMTC-SSB parameters on NR RF Channels,,Config 2,SSB.1 FR1,As specified in clause A.3.10.2
offsetMO,dB,Config 2,16,
Hysteresis,dB,Config 2,0,
A3-Threshold,dBm,Config 2,-11,
CP length,,Config 2,Normal,
TimeToTrigger,s,Config 2,0,
Filter coefficient,,Config 2,0,L3 filtering is not used
DRX,,Config 2,OFF,DRX is not used
Time offset between serving and neighbour cells,,Config 2,3 s,Synchronous NR CASynchronous EN-DC
,,Config 2,3s,Synchronous cells
T1,s,Config 2,5,
T2,s,Config 2,5.2 for PC1; 3.5 for other PC,
