Configuration,Description
1,"FDD LTE PCell, Cell 2 NR 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex modeCell 3 NR 15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex mode"
2,"FDD LTE PCell, Cell 2 NR 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex modeCell 3 NR 15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex mode"
3,"FDD LTE PCell, Cell 2 NR 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex modeCell 3 NR 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode"
4,"TDD LTE PCell, Cell 2 NR 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex modeCell 3 NR 15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex mode"
5,"TDD LTE PCell, Cell 2 NR 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex modeCell 3 NR 15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex mode"
6,"TDD LTE PCell, Cell 2 NR 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex modeCell 3 NR 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode"
NOTE:The UE is only required to pass in one of the supported test configurations,
