Config,Description
1,"LTE FDD, NR 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
2,"LTE TDD, NR 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
3,"LTE FDD, NR 240 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
4,"LTE TDD, NR 240 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
NOTE:The UE is only required to be tested in one of the supported test configurations in each supported band,
