Config,Description
1,"LTE FDD, NR 15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex mode"
2,"LTE FDD, NR 15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex mode"
3,"LTE TDD, NR 15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex mode"
4,"LTE TDD, NR 15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex mode"
