Configuration,Description
1,"LTE FDD, NR 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
2,"LTE TDD, NR 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
NOTE: The UE is only required to pass in one of the supported test configurations in FR2,
