,"Test requirement Notes1,2,3"
Cell 2,CSI_RP2 -δ +Gmin ≤ Reported RSRP(dBm) ≤ CSI_RP2 +δ +Gmax
Cell 3,CSI_RP3 -δ +Gmin ≤ Reported RSRP(dBm) ≤ CSI_RP3 +δ +Gmax
"NOTE 1: CSI_RPn is the  equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zone configured in the test for the cell n under considerationNOTE 2: δ is the RSRP absolute accuracy requirement from Table 10.1.3.1.1-1, selected according to the Io used in the testNOTE 3: Gmin and Gmax are the minimum and maximum UE gain values from Table B.2.1.5.1-1, selected according to the UE power class",
