,"Test requirement Notes1,2,3,4"
Cell 3 – Cell 2,CSI _RP3 - CSI _RP2 – δ – D – Ginter ≤ Reported RSRP(dB) ≤ CSI_RP3 - CSI_RP2 + δ + Ginter – (X) + E
"NOTE 1:CSI_RPn is the equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zone configured in the test for the cell n under considerationNOTE 2:δ is the RSRP relative accuracy requirement from Table 10.1.5.1.2-1NOTE 3:Void NOTE 4:X is the Spherical coverage gain difference in dB, derived as (UE Refsens - UE Spherical coverage) from TS 38.101-2 [19] clauses 7.3.2 and 7.3.4, selected according to the UE power class and operating band. X is always a negative value.NOTE 5: D is the margin due to mis-alignment between fine beam and rough beam. D is the Rough Beam gain reduction in Rx beam peak direction from Table B.2.1.5.3-1, selected according to the UE power class. D is always a positive value.NOTE 6: Ginter is the margin due to different antenna gain caused by frequency separation. Ginter is from Table B.2.1.5.2-1, selected according to the UE power class, and is always a positive value.NOTE 7: E = 3 (dB) is an additional margin to account for the actual gain difference between peak direction and spherical coverage using rough beams.",
