Config,Description
1,"LTE FDD, NR 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
2,"LTE TDD, NR 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
NOTE 1:The UE is only required to be tested in one of the supported test configurationsNOTE 2:A UE which fulfils the requirements in test case A.5.5.2.2 can skip the test cases in A.5.5.2.1.,
