Configuration,Description
1,"LTE FDD, TDD duplex mode, 120 kHz SSB SCS, 100 MHz bandwidth"
2,"LTE TDD, TDD duplex mode, 120 kHz SSB SCS, 100 MHz bandwidth"
3,"LTE FDD, TDD duplex mode, 240 kHz SSB SCS, 100 MHz bandwidth"
4,"LTE TDD, TDD duplex mode, 240 kHz SSB SCS, 100 MHz bandwidth"
NOTE: The UE is only required to pass in one of the supported test configurations in FR2,
