,X1=1,X1=2,X1=4,X1=6
X2=0,348,368,408,448
X2=1,408,428,468,508
X2=2,468,488,528,568
X2=3,528,548,588,628
X2=4,588,608,648,688
X2=5,648,668,708,748
X2=6,708,728,768,808
X2=7,768,788,828,868
